Year,Team,Conf,Seed,Wins,Losses,Win_percent,RPI,FirstRwin,SecRwin,thrdRwin,frthRwin,fifthRwin,sixthRwin
2017,Cincinnati,AAC,6,29,4,0.878787879,0.633,1,0,0,0,0,0
2017,Kansas State,Big 12,11,20,13,0.606060606,0.574,0,0,0,0,0,0
2017,UCLA,Pac-12,3,29,4,0.878787879,0.624,1,1,0,0,0,0
2017,Kent State,MAC,14,21,13,0.617647059,0.515,0,0,0,0,0,0
2017,Dayton,Atlantic 10,7,23,7,0.766666667,0.601,0,0,0,0,0,0
2017,Wichita state,Missouri Valley,10,29,4,0.878787879,0.598,1,0,0,0,0,0
2017,Kentucky,SEC,2,28,5,0.848484848,0.648,1,1,1,0,0,0
2017,Northern Kentucky,Horizon,15,22,10,0.6875,0.543,0,0,0,0,0,0
2016,Kansas,Big12,1,30,4,0.882352941,0.672,1,1,1,0,0,0
2016,Ausin Peay,OVC,16,18,17,0.514285714,0.487,0,0,0,0,0,0
2016,Colorado,Pac-12,8,22,11,0.666666667,0.579,0,0,0,0,0,0
2016,Connecticut,AAC,9,24,10,0.705882353,0.588,1,0,0,0,0,0
2016,Maryland,Big10,5,25,8,0.757575758,0.622,1,1,0,0,0,0
2016,Dakota St.,Summit,12,26,7,0.787878788,0.521,0,0,0,0,0,0
2016,California,Pac-12,4,23,10,0.696969697,0.606,0,0,0,0,0,0
2016,Hawaii,Big West,13,27,5,0.84375,0.559,1,0,0,0,0,0
2016,Arizona,Pac-12,6,25,8,0.757575758,0.591,0,0,0,0,0,0
2016,Wichita St.,MVC,11,26,8,0.764705882,0.586,1,0,0,0,0,0
2016,Miami,ACC,3,25,7,0.78125,0.639,1,1,0,0,0,0
2016,Buffalo,MAC,14,20,14,0.588235294,0.546,0,0,0,0,0,0
2016,Iowa ,Big10,7,21,10,0.677419355,0.594,1,0,0,0,0,0
2016,Temple,AAC,10,21,11,0.65625,0.566,0,0,0,0,0,0
2016,Villanova,Big East,2,29,5,0.852941176,0.67,1,1,1,1,1,1
2016,UNC Ashville,Big South,15,22,11,0.666666667,0.522,0,0,0,0,0,0
2016,Oregon,Pac-12,1,28,6,0.823529412,0.656,1,1,1,0,0,0
2016,Holy Cross,Patriot,16,15,19,0.441176471,0.457,0,0,0,0,0,0
2016,St. Joseph's ,A-10,8,27,7,0.794117647,0.61,1,0,0,0,0,0
2016,Cincinnati,AAC,9,22,10,0.6875,0.574,0,0,0,0,0,0
2016,Baylor,Big 12,5,22,11,0.666666667,0.592,0,0,0,0,0,0
2016,Yale,Ivy,12,22,6,0.785714286,0.584,1,0,0,0,0,0
2016,Duke,ACC,4,23,10,0.696969697,0.616,1,1,0,0,0,0
2016,UNC Wilmington,CAA,13,25,7,0.78125,0.576,0,0,0,0,0,0
2016,Texas,Big 12,6,20,12,0.625,0.588,0,0,0,0,0,0
2016,North Iowa,MVC,11,22,12,0.647058824,0.567,1,0,0,0,0,0
2016,Texas A&M,SEC,3,26,8,0.764705882,0.61,1,1,0,0,0,0
2016,Green Bay,Horizon,14,23,12,0.657142857,0.53,0,0,0,0,0,0
2016,Oregon St.,Pac-12,7,19,12,0.612903226,0.58,0,0,0,0,0,0
2016,VCU,A-10,10,24,10,0.705882353,0.587,1,0,0,0,0,0
2016,Oklahoma,Big12,2,25,7,0.78125,0.651,1,1,1,1,0,0
2016,CSU Bakersfield,WAC,15,24,8,0.75,0.525,0,0,0,0,0,0
2016,North Carolina,ACC,1,28,6,0.823529412,0.655,1,1,1,1,1,0
2016,FGCU,A-Sun,16,21,14,0.6,0.481,0,0,0,0,0,0
2016,USC,Pac-12,8,21,12,0.636363636,0.57,0,0,0,0,0,0
2016,Providence,Big East,9,23,10,0.696969697,0.588,1,0,0,0,0,0
2016,Indiana,Big10,5,25,7,0.78125,0.609,1,1,0,0,0,0
2016,Chattanooga,Southern,12,29,5,0.852941176,0.574,0,0,0,0,0,0
2016,Kentucky,SEC,4,26,8,0.764705882,0.628,1,0,0,0,0,0
2016,Stony Brook,AEC,13,26,6,0.8125,0.568,0,0,0,0,0,0
2016,Notre Dame,ACC,6,21,11,0.65625,0.601,1,1,1,0,0,0
2016,Michigan,Big10,11,23,12,0.657142857,0.571,0,0,0,0,0,0
2016,West Virginia,Big12,3,26,8,0.764705882,0.624,0,0,0,0,0,0
2016,SF Austin,Southland,14,27,5,0.84375,0.569,1,0,0,0,0,0
2016,Wisconsin,Big10,7,20,12,0.625,0.588,1,1,0,0,0,0
2016,Pittsburgh,ACC,10,21,11,0.65625,0.575,0,0,0,0,0,0
2016,Xavier,Big East,2,27,5,0.84375,0.634,1,0,0,0,0,0
2016,Weber St.,Big Sky,15,26,8,0.764705882,0.534,0,0,0,0,0,0
2016,Virginia,ACC,1,26,7,0.787878788,0.657,1,1,1,0,0,0
2016,Hampton,MEAC,16,21,10,0.677419355,0.504,0,0,0,0,0,0
2016,Texas Tech,Big12,8,19,12,0.612903226,0.578,0,0,0,0,0,0
2016,Butler,Big East,9,21,10,0.677419355,0.575,1,0,0,0,0,0
2016,Purdue,Big10,5,26,8,0.764705882,0.61,0,0,0,0,0,0
2016,Little Rock,Sun Belt,12,29,4,0.878787879,0.585,1,0,0,0,0,0
2016,Iowa State,Big12,4,21,11,0.65625,0.608,1,1,0,0,0,0
2016,Iona,MAAC,13,22,10,0.6875,0.548,0,0,0,0,0,0
2016,Seton Hall,Big East,6,25,8,0.757575758,0.606,0,0,0,0,0,0
2016,Gonzoga,WCC,11,26,7,0.787878788,0.588,1,1,0,0,0,0
2016,Utah,Pac-12,3,26,8,0.764705882,0.63,1,0,0,0,0,0
2016,Fresno St.,MWC,14,25,9,0.735294118,0.567,0,0,0,0,0,0
2016,Dayton,A-10,7,25,7,0.78125,0.597,0,0,0,0,0,0
2016,Syracuse,ACC,10,19,13,0.59375,0.585,1,1,1,1,0,0
2016,Michigan St.,Big10,2,29,5,0.852941176,0.623,0,0,0,0,0,0
2016,Middle Tenn,CUSA,15,24,9,0.727272727,0.561,1,0,0,0,0,0
2015,Kentucky,Southeastern,1,34,0,1,0.678,1,1,1,1,0,0
2015,Hampton,Mid-Eastern,16,16,17,0.484848485,0.463,0,0,0,0,0,0
2015,Cincinnati,AAC,8,22,10,0.6875,0.581,1,0,0,0,0,0
2015,Purdue,Big10,9,21,12,0.636363636,0.561,0,0,0,0,0,0
